UV,Plate,Dilution,Rep,Count,CFU/ml
0,1,NA,1,NA,#VALUE!
0,1,NA,2,NA,#VALUE!
0,1,NA,3,NA,#VALUE!
0,1,NA,4,NA,#VALUE!
0,1,NA,5,NA,#VALUE!
0,1,NA,6,NA,#VALUE!
0,10,1000,1,65,6500000
0,10,1000,2,52,5200000
0,10,1000,3,49,4900000
0,10,1000,4,43,4300000
0,10,1000,5,50,5000000
0,10,1000,6,53,5300000
0,100,100,1,53,530000
0,100,100,2,43,430000
0,100,100,3,47,470000
0,100,1000,4,8,800000
0,100,100,5,40,400000
0,100,100,6,45,450000
0,1000,10,1,49,49000
0,1000,10,2,45,45000
0,1000,10,3,42,42000
0,1000,10,4,36,36000
0,1000,10,5,35,35000
0,1000,10,6,46,46000
15,1,NA,1,NA,#VALUE!
15,1,NA,2,NA,#VALUE!
15,1,NA,3,NA,#VALUE!
15,1,NA,4,NA,#VALUE!
15,1,NA,5,NA,#VALUE!
15,1,NA,6,NA,#VALUE!
15,10,1000,1,12,1200000
15,10,1000,2,18,1800000
15,10,1000,3,13,1300000
15,10,1000,4,16,1600000
15,10,1000,5,19,1900000
15,10,1000,6,25,2500000
15,100,10,1,15,15000
15,100,10,2,12,12000
15,100,10,3,12,12000
15,100,10,4,10,10000
15,100,10,5,7,7000
15,100,10,6,7,7000
15,1000,1,1,2,200
15,1000,1,2,3,300
15,1000,1,3,3,300
15,1000,1,4,4,400
15,1000,1,5,2,200
15,1000,1,6,2,200
30,1,NA,1,NA,#VALUE!
30,1,NA,2,NA,#VALUE!
30,1,NA,3,NA,#VALUE!
30,1,NA,4,NA,#VALUE!
30,1,NA,5,NA,#VALUE!
30,1,NA,6,NA,#VALUE!
30,10,10,1,66,66000
30,10,10,2,57,57000
30,10,10,3,62,62000
30,10,10,4,62,62000
30,10,10,5,54,54000
30,10,10,6,56,56000
30,100,NA,1,NA,#VALUE!
30,100,NA,2,NA,#VALUE!
30,100,NA,3,NA,#VALUE!
30,100,NA,4,NA,#VALUE!
30,100,NA,5,NA,#VALUE!
30,100,NA,6,NA,#VALUE!
30,1000,NA,1,NA,#VALUE!
30,1000,NA,2,NA,#VALUE!
30,1000,NA,3,NA,#VALUE!
30,1000,NA,4,NA,#VALUE!
